wind_speed_m_per_s,wind_direction_deg,yaw_angles_deg_by_turbine
5.000000,317.500000,"[0.0, -4.125000000000002, 0.0, -2.154761904761905, 0.0, -18.34523809523809, 0.0, 0.0, 0.0, -5.267857142857142, 5.011904761904764, 0.0, 0.0, 0.0, -5.25, -15.553571428571427, 4.107142857142858]"
5.000000,322.500000,"[0.0, -5.999999999999999, 0.0, 1.5714285714285716, 0.0, 7.476190476190477, 0.0, 0.0, 0.0, 0.0, 6.571428571428573, 0.0, 0.0, 0.0, 0.0, 11.892857142857144, 2.446428571428572]"
5.000000,327.500000,"[0.0, -5.404761904761904, 0.0, 0.0, 0.0, 16.226190476190478, 0.0, 0.0, 0.0, 5.250000000000001, 2.5357142857142865, -1.5892857142857149, 0.0, 0.0, 7.559523809523811, 12.36904761904762, 0.0]"
5.000000,332.500000,"[0.0, 1.2678571428571432, 0.0, 0.0, 0.0, 12.142857142857146, 0.0, 2.482142857142858, 0.0, 2.8571428571428577, 0.0, 0.0, 0.0, 0.0, 1.4285714285714288, 7.904761904761907, 0.0]"
5.000000,337.500000,"[0.0, 6.982142857142859, 0.0, 0.0, 0.0, 7.964285714285716, 0.0, -5.32142857142857, 0.0, 0.0, 0.0, 1.952380952380953, 0.0, 0.0, 0.0, 1.940476190476191, 0.0]"
5.000000,342.500000,"[0.0, 14.285714285714285, 0.0, 0.0, 0.0, 3.6190476190476195, 0.0, -12.69642857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5.000000,347.500000,"[0.0, 13.011904761904761, -1.547619047619048, 0.0, 0.0, 0.0, 0.0, 11.839285714285715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5.000000,352.500000,"[0.0, 5.714285714285715, -3.3035714285714293, 0.0, 0.0, -2.089285714285715, 0.0, 16.85714285714286, 0.0, -3.500000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 1.833333333333334, 0.0]"
5.000000,357.500000,"[0.0, 2.2500000000000004, 0.0, 0.0, 0.0, -6.571428571428571, 0.0, 12.69642857142857, 0.0, -3.3928571428571437, 0.0, 0.0, 0.0, -2.8571428571428577, 0.0, 0.0, -3.4285714285714293]"
7.000000,2.500000,"[0.0, 0.0, 2.2142857142857144, -2.4285714285714293, 0.0, 0.0, 0.0, 6.976190476190476, 0.0, 2.482142857142858, 0.0, -4.0357142857142865, 0.0, -8.738095238095239, 0.0, 0.0, -7.678571428571428]"
