wind_speed_m_per_s,wind_direction_deg,yaw_angles_deg_by_turbine
7.000000,167.500000,"[0.0, 0.0, 0.0, -3.1666666666666665, 0.0, -2.8333333333333335, 7.333333333333333, -8.333333333333334, -12.9375, 0.0, 0.0, -17.645833333333336, -4.0, 12.708333333333332, -9.708333333333332, 0.0, 0.0]"
7.000000,172.500000,"[0.0, 0.0, 0.0, -12.0, 0.0, -7.375, 0.0, -17.354166666666664, -15.041666666666668, 0.0, 0.0, -18.25, -10.291666666666668, 4.0, -17.0, 0.0, 0.0]"
7.000000,177.500000,"[0.0, 0.0, 0.0, -16.0, 0.0, 5.666666666666667, 0.0, -20.0, 16.0, 0.0, 0.0, -15.416666666666666, -20.0, 0.0, -20.0, 0.0, 0.0]"
7.000000,182.500000,"[0.0, 0.0, 0.0, 12.375, 0.0, 3.3333333333333335, 0.0, 20.0, 8.354166666666668, 0.0, 0.0, 8.5, 20.0, 3.5, 20.0, 0.0, -2.5833333333333335]"
7.000000,187.500000,"[0.0, 0.0, 0.0, 9.416666666666666, -6.291666666666666, 0.0, 0.0, 18.895833333333336, -3.4375, 0.0, 0.0, 8.0, 20.0, 0.0, 17.854166666666664, 0.0, -11.166666666666666]"
7.000000,192.500000,"[0.0, 0.0, 0.0, 4.0, 11.145833333333332, 0.0, 2.0, 12.0, 0.0, 0.0, 0.0, 2.75, 14.770833333333334, -6.229166666666667, 12.0, 0.0, 6.25]"
7.000000,197.500000,"[0.0, 0.0, 0.0, 0.0, 3.4166666666666665, 0.0, -4.6875, 3.7708333333333335, 6.208333333333334, 0.0, 0.0, 0.0, 6.104166666666666, 0.0, 4.208333333333334, 0.0, 7.395833333333334]"
7.000000,232.500000,"[0.0, 0.0, 0.0, 0.0, -6.270833333333333, 9.3125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.625, 0.0, 6.854166666666666, 0.0, 7.3125]"
7.000000,242.500000,"[0.0, 0.0, 0.0, 4.0, 5.0, 0.0, 2.645833333333333, 0.0, 0.0, 0.0, 0.0, -6.1875, 2.958333333333333, 0.0, 2.5, 0.0, 6.291666666666666]"
7.000000,247.500000,"[0.0, 0.0, 0.0, 0.0, -3.291666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -11.458333333333332, 0.0, 0.0, 0.0, 0.0, 0.0]"
7.000000,252.500000,"[-3.2708333333333335, -4.416666666666667, 0.0, 0.0, -12.208333333333332, -3.5, -6.604166666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -7.729166666666667, 0.0, 0.0]"
7.000000,257.500000,"[-10.333333333333334, -12.0, -4.729166666666667, -4.0, -18.291666666666664, -8.354166666666668, -10.666666666666666, -4.208333333333334, 0.0, 0.0, 0.0, 4.9375, 0.0, 0.0, -12.791666666666668, 0.0, 0.0]"
7.000000,262.500000,"[-20.0, -20.0, -9.833333333333334, 2.9375, 15.0, 6.895833333333334, 12.916666666666666, -10.729166666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.5, 0.0, 0.0]"
7.000000,267.500000,"[19.583333333333332, 18.291666666666664, 12.604166666666668, 0.0, 16.4375, 5.0, 6.0, 12.0, 0.0, 0.0, 0.0, 0.0, 5.166666666666667, 0.0, 4.9375, -2.791666666666667, 0.0]"
7.000000,272.500000,"[14.770833333333334, 10.25, 11.729166666666666, -4.0, 7.291666666666666, 0.0, 0.0, 16.9375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -6.291666666666666, 0.0]"
7.000000,277.500000,"[7.145833333333334, 1.8333333333333333, 6.770833333333333, -9.9375, 0.0, 0.0, 0.0, 9.041666666666668, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.625, 6.729166666666667, -7.041666666666666]"
7.000000,282.500000,"[0.0, 2.3333333333333335, 0.0, 3.0833333333333335, 0.0, 0.0, 0.0, 2.375, 0.0, 0.0, 0.0, -10.666666666666666, -4.0, 0.0, -2.4166666666666665, 10.875, -13.229166666666666]"
